page,state,name,county,storet_code,lake_type,drainage_area,surface_area,mean_depth,total_inflow,retention_time,alkalinity,conductivity,sechhi,tp,po4,tin,tn
47,COLORADO,BARR LAKE ‘EUTROPHIC),ADAMS,802,IMPOUNDMENI,NA,7.57,5.2,NA,NA,162,591,1.2,0.93,0.73,1.09,2.96
48,COLORADO,BLUE MESA RESERVOIR,GUNNISON,303,IMPOUNDMENT,3373.3,36.62,31.1,47.647,325,91,149,2.6,0.019,0.005,0.04,0.32
49,COLORAOD,CHERRY CREEK LAKE,ARAPAHOE,804,IHPDUNOMENT,NA,3.24,5.2,0.208,3.6,177,422,0.8,0.054,0.007,0.04,0.77
50,COLORADO,DILLON RESERVOIR,SUMMIT,806,=,NA,867.6,12.76,24.6,NA,42,86,8.1,0.009,0.002,0.04,0.22
51,COLORADO,GRAND LAKE,GRAND 99* INCLUDES TRIRS AND LOADS FOR SRADOM MIN LAKE (0813),807,NATURAL,NA,2.05,41.3,13.465,NA,19,19,3.4,0.013,0.003,0.04,0.22
52,COLORADO,SHADOH MOUNTAIN LAKE,GRAND ..0 SEE GRAND LAKE (00071 FOR LOADING VALUES,13,IMPOUNDMENT,471,5.43,3,13.405,NA,27,33,1.8,0.02,0.003,0.04,NA
53,COLORADO,GREEN MOUNTAIN RESERVOIR,SUMMIT,808,IMPOUNDMENT,1551.4,8.6,22.2,13.46,164,54,107,2.8,NA,0.01,0.002,0.04
54,COLORADO,HOLRROOK RESERVOIR,OTERO,809,IMPOUNDMENT,NA,NA,NA,NA,NA,85,1812,0.3,0.329,0.028,0.07,3.02
55,COLORADO,LAKE MEREDITH,CROHLEY,810,IMPOUNDMENT,NA,13.03,2.5,NA,NA,100,7055,0.3,0.397,0.098,0.11,4.63
56,COLORADO,MILTON RESERVOIR,MELD,811,IMPOUNDMENT,NA,5.41,7.3,NA,NA,324,1078,1.8,0.846,0.808,2.28,3.53
57,COLORADO,NAVAJO RESERVOIR,"ARCMULETA. C0, SAN JUAN. RIO ARRIBA. NM",812,IMPOUNDMENT,3443.4,63.25,33.3,NA,1.4,71,166,0.5,0.036,0.013,0.05,0.365
58,IDAHO,AMERICAN FALLS RESERVOIR,BANNOCK. BINGHAM. PORER,1601,IMPOUNDMENT,35224,277.03,9.2,182.14,109,150,324,0.9,0.105,0.035,0.08,0.575
59,IDAHO,CASCADE RESERVOIR,VALLEY,1602,IMPOUNDMENT,1621.3,107.24,8.1,27.26,339,18,32,2.2,0.032,0.009,0.06,0.32
60,IDAMO,COEUR D‘ALENE LAKE,SENEMAM. KOOTENAI,1603,NATURAL,NA,NA,2.3,NA,19,23,43,3,0.017,0.005,0.04,0.22
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,IDAHO,DRORSHAK RESERVOIR,CLEARRATER,1604,E,NA,NA,76.89,55.5,NA,18,13,2.5,0.01,0.009,0.08,0.26
63,IDAHO,HAUSER LAKE,KOOTENAI,I605,NATURAL,NA,2.43,1.2,NA,NA,24,42,3.4,0.028,0.013,0.075,0.42
64,IDAHO,HAYDEN LAKE,KOOTENAI,232/AB,1,NA,161.4,17,7.3,2,30,32,6.5,0.01,0.003,0.04,0.22
65,IDAHO,NA,FREMONT,1607,IMPOUNDMENT,1245.8,31.54,5,13.56,109,71,120,2.8,0.034,0.012,NA,0.32
66,IDAHO,LAKE LOMELL,CANYON,1608,IMPOUNDMENT,NA,NA,5.9,10.16,262,90,199,0.6,0.07,0.015,0.07,0.69
67,IDAHO,MAGIC RESERVOIR,CAMAS. BLAINE,1609,IMPOUNDMENT,4144,15.8,15,15.42,175,94,166,2.5,0.062,0.02,0.13,0.42
68,IDAHO,PALISAOES RESERVOIR,"RONNEVILLE. ID, LINCOLN. MY",1610,IMPOUNOMENT,13571.6,61.31,28.2,181.05,108,112,225,3.9,0.024,0.007,0.08,0.27
69,IDAHO,PAYETTE LAKE,VALLEY,1611,3,NA,373,21.6,5.7,10.58,12,18,6.8,0.013,0.007,0.06,0.24
70,IDAHO,LORER TRIN LAKES,KOOTENAI,1612,IMPOUNDMENT,133.4,16.35,2.3,2.14,1.8,15,22,3.3,0.016,0.009,0.05,0.32
71,IDAHO,UPPER THIN LAKES,KOOTENAI,1613,IMPOUNDMENT,133.4,16.35,2.3,2.14,1.8,14,20,3.3,0.017,0.004,0.045,0.42
72,MONTANA,CANYON FERRY RESERVOIR,BROADHATERo LEWIS s CLARK,3001,IMPOUNDMENT,NA,142.45,17.4,155.493,186,127,235,1.4,0.047,0.029,0.17,0.44
73,MONTANA,CLARK CANYON RESERVOIR,BEAVERHEAD,3002,IMPOUNDMENT,11.4,NA,15,10.1,1,204,305,2,0.049,0.027,0.1,0.55
74,MONTANA,FLATHEAD LAKE IOLIGOTROPHIC),ELATHEAD. LAKE _,3003,NATURAL,18854.2,475.6,13.5,331.73,225,NA,121,5.9,0.008,0.004,0.05,0.23
75,MONTANA,GEORGETURN LAKE,DEER LODGE. GRANITE,3004,IMPOUNDMENT,137.3,11.2,3.4,1.297,342,101,162,3.4,0.022,0.011,0.04,0.42
76,MONTANA,EUTROPHIC),GALLATIN,3005,IMPOUNDMENT,2400.7,51.27,0.2,20.053,172,76,179,3.4,0.022,0.02,0.04,0.22
77,MONTANA,KOOCANUSA RESERVOIR IMESOTROPHICI,"LINCOLN. MT, BRITISH COLUMBIA. CAN.",3008,IMPOUNDMENT,23271.1,188.18,38.4,308.81,271,98,173,4.1,0.045,0.044,0.1,0.3
78,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,MONTANA,MARY RONAN LAKE,LAKE,3007,1,NA,76.8,6.15,8.5,0.11,68,103,3.3,0.02,0.006,0.04,0.52
80,MONTANA,LAKE MCDONALD,FLATMEAD,3008,NATURAL,443.9,32.63,45.7,14.957,3.2,54,6,7.9,0.006,0.002,0.18,0.37
81,MONTANA,NELSON RESERVOIR,PHILLIPS,3009,IMPOUNDMENT,NA,10.45,5.7,2.29,1,175,502,1.1,0.029,0.007,0.075,0.555
82,MONTANA,SEELEY LAKE IMESO,MISSOULA,3010,NATURAL,370.4,3.49,10.3,5.001,127,47,60,3.5,0.015,0.01,0.04,0.225
83,MONTANA,SHAN LAKE,LAKE,3011,NATURAL,1737.9,10.85,21.9,34.338,85,85,124,5.5,0.01,0.004,0.05,0.23
84,MONTANA,TALLY LAKE,FLATHEAD,3012,NATURAL,527.1,5.37,68.9,4.25,2.8,94,109,4.1,0.011,0.004,50,NA
85,MONTANA,TIBER RESERVOIR,LI8ERTY. TOOLE,3013,IMPOUNDMENT,12780.9,50.59,15.3,28.17,318,133,402,1.3,0.018,0.004,0.18,0.43
86,MONTANA,TONGUE RIVER RESERVOIR,BIG HORN,3014,IMPOUNDMENT,4584.3,14.15,6.1,14.15,78,199,541,0.7,0.051,0.008,0.05,0.62
87,MONTANA,MHITEFISH LAKE IOLIGOTROPHIC),FLATHEAD,3016,NATURAL,325.8,13.56,32.9,5.57,2.5,87,106,5.3,0.008,0.003,0.04,0.22
88,NEVADA,LAMONTAN RESERVOIR,CHURCHILL. LYON,3202,IMPOUNOMENT,NA,NA,6.7,16.96,NA,86,141,0.1,0.198,0.148,0.35,NA
89,NEVADA,LAKE MEAD,CLARK. NY; MOHAVE. Az,3201,IMPOUNDMENT,434601.8,NA,59.1,377.34,3.5,136,815,5.9,0.016,0.005,0.34,0.55
90,NEVADA,RYE PATCH RESERVOIR IEUTROPHIC1,PERSHING ',3204,IMPOUNDMENT,NA,46.14,4.6,7.17,1.2,349,736,0,0.095,0.039,0.05,0.62
91,NEVADA,LAKE TAHOE,CARSON CITY. DOUGLAS. RASMOE. Nv; EL OORADO. PLACER. CA,3205,NATURAL,1307.9,501.02,307,17.05,477,46,76,12,0.005,0.003,0.04,0.22
92,NEVADA,TOPAz LAKE,DOUGLAS. Nv; MONO. CA,3206,NATURAL,1080,NA,15.8,6.81,264,74,99,3.1,0.058,0.042,0.16,0.44
93,NEVADA,UPPER PAHRANAGAT,LINCOLN,3207,IMPOUNDMENT,6845.4,0.97,0.6,0.26,57,605,775,0,0.173,0.026,0.125,0.6
94,NEVADA,WALKER LAKE,MINERAL,3211,NATURAL,NA,153.73,24.1,NA,NA,3760,7094,2.4,0.601,0.574,0.08,2.02
95,NEVADA,WILD HORSE RESERVOIR,ELKO,3209,IMPOUNDMENT,541.3,12.14,7.3,1.21,2.4,76,100,0.3,0.114,0.065,0.32,0.92
96,NEVADA,MILSON RESERVOIR,ELKO ',3210,IMPOUNDMENT,240.9,3.35,3.9,0.27,5.1,72,96,7.7,0.049,0.016,0.12,0.52
