"state","name","county","storet_code","lake_type","drainage_area","surface_area","mean_depth","total_inflow","retention_time","alkalinity","conductivity","sechhi","tp","po4","tin","tn","p_pnt_source_muni","p_pnt_source_industrial","p_pnt_source_septic","p_nonpnt_source","p_total","n_pnt_source_muni","n_pnt_source_industrial","n_pnt_source_septic","n_nonpnt_source","n_total","p_total_out","p_percent_retention","p_surface_area_loading","n_total_out","n_percent_retention","n_surface_area_loading"
"ILLINOIS","RACCOON LAKE","HARION","1762","IHPOUNDMENT",125.9,3.93,1.2,0,72,61,270,0.4,0.106,0.02,0.31,1.29,5,NA,30,4465,4500,305,NA,1110,75405,76020,3270,29,1.17,NA,43,19.5
"ILLINOIS","REND LAKE","FRANKLIN. JEFFERSON","1735","IMPOUNUMENT",1300.2,76.49,4.7,NA,1.2,70,290,0.7,0.071,0.012,0.21,1.2,15130,NA,NA,NA,74490,23845,NA,NA,731505,755350,37545,50,0.97,433690,43,9.9
"ILLINOIS","SANGCHRIS LAKE IEUTRUPHICT","CHRISTIAN","1753","IMPOUNDMENT",133.3,10.93,4,1.2,1.2,91,397,0.3,0.05,0.009,1.97,2.74,270,NA,5,NA,4190,1105,NA,135,NA,252235,2590,33,0.33,NA,49,23.1
"ILLINOIS","SHELBYVILLE RESERVOIR","SHELBY. MOULTRIE ,","1739","IMPOUNDMENT",NA,44.52,5,NA,131,166,424,1,0.062,0.019,3.29,4.16,37115,1380,15,145010,183520,108350,6630,640,NA,3825455,63255,66,4.12,NA,22,85.9
"ILLINOIS","SLOCUM LAKE","LAKE .","1753","NATURAL",22.6,0.37,1.2,0.1,121,214,650,0.3,0.365,0.362,0.2,6.04,5135,NA,15,4530,NA,17310,NA,430,NA,27635,NA,60,11.13,13535,33,31.3
"ILLINOIS","LAKE SPRINGFIELD","SANGAHON","1742","IHPOUNDHENT",631.2,17.13,NA,4,4.5,126,364,0.4,NA,0.103,0.059,3.265,3070,NA,NA,21030,NA,23190,NA,NA,1071745,NA,21720,25,1.7,713340,34,63.9
"ILLINOIS","LAKE STOREY","NNox","746/AB","IMPOUNDMENT",10.2,0.53,4.6,0.1,202,170,410,1,0.072,0.021,2.51,3.01,630,NA,NA,525,1155,NA,1885,NA,NA,21190,355,69,2.18,16620,23,43.5
"ILLINOIS","LAKE VANDALIA IEUTROPHIC)","FAYETTE ,","1764","IMPOUNDMENT",62.9,2.67,16.2,0.4,3.4,64,174,0.6,0.116,0.023,0.48,1.505,NA,90,NA,5,2475,NA,NA,265,NA,NA,2260,12,0.96,27555,7,11
"ILLINOIS","LAKE VERHILION IEUTROPHICI","VERMILION","1743","IMPOUNDMENT",774.4,2.33,1.4,5.1,9,219,530,0.5,0.109,0.05,4.695,6.12,3305,NA,195,NA,23330,25510,NA,7245,1065350,NA,NA,33,10.2,1020330,7,333
"ILLINOIS","LAKE HEE","FULTON","1761","IMPOUNDMENT",NA,NA,NA,0.3,NA,NA,NA,0.9,NA,NA,NA,NA,NA,135,NA,6666666666,NA,410,6666666666,6666666666,50045,NA,NA,53,0.01,35190,35,NA
"ILLINOIS","HONDER LAKE TEUTROPHICT","HCHENRY","1750","IHPOUNDHENT",252,2.95,NA,2.5,1.6,250,560,NA,0.4,0.426,0.132,0.39,NA,NA,545,10010,36540,50435,NA,20490,173750,244675,NA,56,12.39,NA,NA,82.9
"INDIANA","BASS LAKE","STARNE ' ‘","1851","NATURAL",13.4,5.69,NA,0.1,NA,89,216,NA,0.7,NA,0.012,0.25,NA,NA,115,370,485,NA,NA,4240,14640,18880,NA,49,0.09,NA,43,3.3
"INDIANA","CATARACT LAKE","ouEN. PUTNAM","1005","IMPOUNOMENT",762,5.66,6.1,7.97,50,139,NA,NA,0,0.05,0.013,1.66,635,NA,10,31360,32005,2390,NA,425,1033255,1036070,10190,43,5.65,766615,26,103.1
"INDIANA","CROOKED LAKE '","STEUBEN","1852","'NATURAL",NA,3.25,NA,6.1,0.29,131,NA,NA,648,NA,NA,0.019,NA,NA,50,720,770,NA,NA,3575,17525,21100,165,79,0.24,NA,54,6.5
"INDIANA","NAME","LAGRANGE","1845","NATURAL",103.1,1.14,10.8,1,148,197,NA,2.2,0.029,0.014,0.83,1.685,285,NA,10,1445,1740,1700,NA,640,NA,71760,1630,6,1.53,NA,33,62.9
"INDIANA","HAMILTON LAKE","STEUBEN","1857","NATURAL",42.8,3.25,6.3,0.36,1.8,156,343,2.2,0.033,0.018,0.72,1.28,NA,6606666656,55,NA,1030,NA,NA,NA,35105,NA,540,NA,48,18455,NA,53
"INDIANA","HOVEY LAKE IEUTRORHICI","POSEY . ' _","STORET","NATURAL",NA,0.93,NA,NA,NA,77,300,NA,0.3,NA,NA,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INDIANA","JAMES LAKE","KOSCIUSKO . _ .","1817","NATURAL",144.8,1.14,8.2,1.36,30,200,388,1.7,24,0.003,1.03,1.74,NA,NA,5,1480,1485,NA,NA,NA,101135,101385,NA,NA,1.3,NA,4,NA
"INDIANA","JAMES LAKE IMESOTROPHIC)","STEUBEN J","1053","NATURAL",123,4.1,7.3,NA,1.13,102,309,NA,3.7,0.016,0.005,0.19,NA,NA,5,1335,1420,NA,NA,6195,NA,56190,590,50,0.34,30490,46,13.4
"ALABAMA","BANKHEAO LAKE IEUTROPHIC)",NA,"101","-IMPOUNDMENT",10336.1,37.23,NA,NA,7,25,NA,NA,1.2,NA,NA,0.007,458830,NA,20,NA,NA,NA,NA,1078010,NA,NA,NA,66,17.49,NA,NA,NA
"INDIANA","LONG LAKE","STEUBEN","1854","NATURAL",176.1,0.37,5.1,1.7,13,250,613,1.5,0.204,0.15,1.92,3.26,2560,NA,10,8360,NA,NA,NA,790,211080,220785,7290,33,NA,NA,10,NA
"INDIANA","MARSMTLAKE","STEUBEN _ ,","1856","NATURAL",NA,NA,6.1,0.36,65,NA,557,1.2,0.093,0.055,0.27,1.19,1120,NA,NA,280,1400,4330,NA,NA,14870,NA,1310,6,6.09,NA,NA,3.7
"INDIANA",NA,NA,"1827","IMPOUNDMENT",NA,12.75,7.2,NA,20.91,167,474,NA,0.7,NA,0.029,2.4,46785,4155,NA,20,111505,360155,27170,1190,NA,NA,81570,50,12.74,2402895,26,256.3
"INDIANA","OLIN LAKE","LAGRANGE _ .","1846","NATURAL",15000,0.42,11.7,NA,101,190,403,2.5,0.012,0.003,1.46,1.775,NA,NA,NA,340,340,NA,NA,NA,14550,14550,70,79,0.81,NA,38,36.6
"INDIANA","_0L1VER LAKE_",NA,NA,"NATURAL'",NA,NA,NA,0.25,NA,181,355,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,1095,NA,110,NA,0.16,13155,NA,15.7
"INDIANA","PIGEON LAME","STEUBEN . _ '","1855","NATURAL",82.9,0.25,4.6,0.76,17,NA,570,-1.5,0.05,0.015,1.945,3.6,NA,NA,NA,2030,2080,NA,NA,NA,NA,NA,NA,20,8.32,NA,13,NA
"INDIANA","SYLYAN LAKE TEUTROPMICI '","N03LE","559/A3","IMPOUNDMENT",37.5,2.55,4.3,NA,159,131,542,0.3,0.17,0.017,0.13,2.35,1325,NA,100,1300,NA,NA,NA,7300,NA,113730,3410,NA,1.23,37245,41,44.3
"ALABAMA","HOLT LOCK AND DAM","TUSCALOOSA","105","IMPOUNDMENT",NA,13.36,7.9,NA,6,20,162,1.3,0.018,0.006,0.835,1.04,NA,NA,10,226360,226370,NA,NA,NA,NA,105,NA,34,16.94,NA,NA,5
"INDIANA","LAKE TIPPECANOE IMESOTROPHICI '","KOSCIUSKO","IBAA","NATURAL",NA,3.11,11.3,2.74,148,171,412,2.8,0.019,0.005,0.195,1.03,NA,NA,500,3365,3415,NA,NA,3805,208515,212320,2410,29,1.1,171350,19,68.3
"INDIANA","VERSAILLES LAKE","RIPLEY .","1050","NATURAL",436.7,-0.93,NA,NA,NA,120,315,NA,NA,0.139,0.019,NA,NA,17720,NA,NA,23590,14000,NA,NA,175,321170,28700,31,94,353070,NA,361.5
"INDIANA","MAMASEE LAKE","KOSCIUSKO","1836","NATURAL",NA,12.3,6.7,0.3,3.5,NA,126,330,3.4,0.012,0.003,0.21,125,NA,135,1110,1370,745,NA,10105,NA,NA,550,60,0.11,41360,62,3.7
"INDIANA",NA,"KOSCIUSKO","1837","NA NA NA NA NA NA",NA,NA,NA,NA,NA,NA,412,NA,1.8,0.025,0.005,0.79,240,NA,40,2195,2475,NA,1445,NA,3145,NA,1250,49,1.04,NA,24,52.2
"INDIANA-","RESTLER'LAKE IEUTROPMIC)","LAGRANGE . . .","1001","NATURAL",NA,0.36,6.1,0.9,27,206,NA,1.8,0.035,0.013,0.86,1.7,NA,NA,20,1560,1580,NA,NA,1490,55645,57135,NA,11,4.39,66625,NA,NA
"INDIANA","HINONA LAKE","KOSCIUSKO","1040","NA NA NA NA NA NA",NA,NA,NA,NA,NA,104,461,1.4,40.035,0.011,1.25,2.02,NA,NA,15,1790,1005,NA,NA,1200,NA,NA,NA,40,0,NA,23,39
"INDIANA","HITHER LAKE IEUTRoPHICI","LAGRANGE ,","602/AB","NATURAL",NA,0.03,10.4,0.9,115,216,399,NA,1.5,0.035,0.011,0.9,NA,190,NA,NA,15,NA,NA,1170,64180,66110,1530,33,NA,53730,19,79.7
"KENTUCKY","BARREN RIvER RESERVOIR IEUTROPHIC)","ALLEN. BARREN","2105","IMPOUNDMENT",2434.6,40.47,5.3,33.42,30,33,195,1.2,0.027,0.006,0.46,0.39,NA,NA,20,50150,77090,67295,NA,695,NA,NA,50720,34,1.9,1472500,16,43.5
"KENTUCKY","CUMBERLAND LAKE",".,","2101","IMPOUNDMENT",NA,203.36,NA,24.2,252.84,37,NA,130,NA,1.7,0.016,0.007,NA,NA,20,378520,NA,36675,NA,780,10007040,10044495,243735,39,1.96,7234410,28,49.4
"ALABAMA","GANTT LAKE",NA,"103","IMPOUNDMENT",1675.7,11.2,1.4,24.2,7,22,64,0.9,0.029,0.008,0.3,0.57,NA,NA,20,NA,NA,NA,NA,745,722105,722850,32250,NA,2.68,NA,NA,64.5
"KENTUCKY","DALE‘HOLLOH RESERVOIR","CLINTON. CUMBERLAND. KY) CLAY. OVERTON. PICKETT. TN","MORKING","IMPOUNDMENT",2424.2,108.62,NA,42.63,1.2,63,180,NA,4.3,NA,0.005,0.27,NA,NA,10,24245,38195,25115,NA,310,1281350,1306775,13085,66,0.35,2585010,NA,12
"KENTUCKY","HERRINGTON LAKE IEUTROPHICI","DOYLE. GARRARD. MERCER","2103","IMPOUNOMENT",1137,11.9,23.9,16.78,NA,102,242,1.5,0.079,0.047,0.55,1.06,NA,NA,155,80470,NA,61580,NA,5745,NA,1163720,NA,53,NA,1565170,NA,NA
"IN.KENTUCKY","KENTUCKY LAKE","CALLOMAY. TRIGG. ET AL. KY1 HARDIN. DECATUR. ET AL. TN","2104","IMPDUNDMENT",104117.9,343.71,5.2,NA,22,570,144,NA,100,0.081,0.03,0.395,NA,NA,300,4557195,NA,101275,NA,11255,73212230,NA,5223730,NA,7.09,71210420,3,NA
"MARYLAND","DEEP CREEK LAKE","GARRETT '","2402","IMPOUNDMENT",167.6,NA,8.1,3.6,1.1,10,56,NA,0.011,0.005,0.45,0.625,NA,NA,NA,2580,NA,NA,NA,NA,NA,123545,890,69,0.18,68105,49,8.4
"MARYLAND.","JOHNSON POND‘ IEUTROPHIC)","MICOMICO","633/A0","IMPOUNDMENT",NA,0.42,NA,1.9,5,NA,12,NA,85,1.1,98,0.04,1630,NA,5,6190,740,4340,3105,10,137525,NA,7305,16,20.01,161405,NA,345.2
"MISSISSIPPI","ARKABUTLA RESERVOIR","DESOTO. TATE '","2301","IMPDUNDMENT",NA,43.04,9.1,46.3,103,19,59,NA,0.4,0.193,0.025,NA,16060,NA,25,115610,131695,25510,NA,1010,NA,1123100,332675,NA,2.74,1436165,NA,23.4
"ALABAMA","GUNTERSVILLE RESERVOIR IEUTROPHIC)","MARSHALL. JACKSON","104","NA NA NA NA NA NA",NA,NA,NA,NA,NA,530,NA,NA,1,44,NA,0.014,53115,330,75,NA,1343075,152320,2210,2330,NA,35237200,NA,3,3.72,NA,4,123.3
"MISSISSIPPI","ENID LAKE IEUTROPHICI","YALOBUSHA","2802","[HPOUNDMENT",1450.4,52.49,15.5,22,1.1,16,45,0.9,0.062,0.009,0.24,0.64,NA,NA,15,NA,208795,NA,NA,625,1228290,1257825,45100,78,NA,NA,53,24
"MISSISSIPPI","GRENADA LAKE","CALMOUN. GRENADA. YALODUSMA","2606","IMPOUNDHENT",NA,NA,16.5,52,1.1,17,57,NA,0.6,0.051,0.01,0.305,4830,NA,10,NA,NA,14040,NA,265,1583405,NA,NA,10,1.57,NA,17,16.2
"MISSISSIPPI","ROSS BARNETT RESERVOIR","JACKSONO'HADISONQ RANKIN","2804","IMPOUNDMENT",7770,121.41,3.7,106,49,16,62,0.9,0.045,0.008,0.14,0.87,7000,NA,15,425200,432215,28290,NA,640,NA,NA,NA,55,NA,NA,22,28
"MISSISSIPPI.","¢ SARDIS LAKE","LAFAYETTE. PANOLA","2605","IMPOUNDMENI",NA,NA,16.5,62.7,1.1,21,61,NA,NA,NA,0.009,0.19,4535,NA,NA,NA,NA,13605,NA,NA,1772155,1785760,NA,115755,17,2243215,NA,14.2
"JERSEY","BUDD LAKE","MORRIS . .","3402","NA NA NA NA NA NA",NA,NA,NA,NA,NA,NA,NA,22,121,0.7,0.082,NA,NA,NA,215,16830,17045,NA,NA,NA,NA,NA,8200,52,11.2,NA,NA,NA
"JERSEY","DUHERNAL LAKE","MIDDLESEx","3412","IMPOUNDMENT",245,0.38,1.4,4,2,NA,10,135,NA,0.8,0.082,0.01,75000,NA,10,184695,NA,NA,NA,NA,NA,NA,251560,3,683.4,NA,NA,NA
"JERSEY","FARRINGTON LAKE","MIDDLESEX","3413","IMPOUNDMENT",NA,1.17,1.8,0.98,25,10,100,1,0.055,0.012,0.77,1.44,NA,NA,NA,1340,1340,NA,NA,NA,65,68650,1370,NA,1.15,71185,NA,58.7
"JERSEY","GREENMOOD LAKE","PASSAIC. NU) ORANGEo NY","3403","IMPOUNDMENT",70.2,7.77,5.2,NA,346,16,NA,94,NA,NA,2.2,0.021,NA,325,NA,475,1635,1525,3363636663,17860,43380,62765,1230,49,0.31,27000,57,8.1
"JERSEY","LAKE MUSCONETCONG","MORRIS. SUSSEx ,","3417","NATURAL",76.9,1.33,1.5,1.22,19,31,196,1.6,0.036,0.01,0.14,0.84,NA,NA,5,305,10,NA,NA,130,37595,37725,1030,NA,0.61,30030,20,20.4
"JERSEY","PAULINSKILL LAKE IEUTROPHICI","SUSSEx","3419","IMPOUNOMENT",100,NA,NA,3.03,4,103,365,1,0.133,0.065,0.95,1.32,5495,NA,10,6125,11630,23070,NA,415,NA,216015,NA,16,10.17,NA,12,330
"JERSEY","PINECLJFF LAKE","PASSAIC","3009","IMPOUNDMENT",10,0.57,1,0.37,32,27,107,0.9,0.07,0.011,0.175,0,1005,NA,20,95,NA,2030,NA,30,NA,13700,0,0,3.47,NA,30,24.1
"JERSEY","POMPTON LAKES IEUTRDPMICI","PASSAIC","3410","IMPOUNDMENT",414.4,0.83,1.8,8.3,2,49,190,0.9,0.071,0.029,0.795,1.145,11315,NA,5,28425,NA,35560,NA,235,447190,NA,16100,59,47.89,327150,32,501.9
"JERSEY","SPRUCE RUN RESERVOIR IEUTROPHICI","HUNTEROON","3420","IMPOUNDMENT",107,5.22,7.9,1.5,NA,31,130,1.8,0.02,0.007,0.47,0.76,40,NA,1,1415,1456,120,NA,10,80435,80565,875,40,0.28,57815,28,15.4
"CAROLINA","8ADIN LAKE TEUTROPHIC)","MONTGOMERY. STANLY","3701","IMPOUNDMENT",10818.4,24.17,14.2,141.4,28,21,68,0.8,0.042,0.012,0.68,0.87,1155,NA,55,401455,402665,3460,NA,2140,5241805,5247405,316515,21,16.66,5275525,NA,217.1
"CAROLINA","BLERETT FALLS LAKE","ANSON. RICHMOND","3702","IMPOUNDMENT",NA,10.36,11.6,213.6,7,22,82,0.6,0.09,0.034,0.655,0.935,22020,NA,NA,NA,NA,63485,NA,NA,8220400,8283885,517685,45,NA,7005540,15,NA
"CAROLINA","FONTANA LAKE IMESOTROPHICI","SRAIN. GRAHAM","3704","IHPUUNOMENT",4068.9,43.18,41.3,114.8,179,10,30,2.7,0.011,0.007,0.55,0.8,6245,NA,25,NA,124175,18310,NA,NA,3758845,3778075,65830,47,2.88,NA,NA,87.5
"ALABAMA","LAY LAKE IEUTROPHICI",NA,"100","IMROUNOHENT",23307.7,40.5,10.1,343,14,40,141,0.7,0.07,0.032,0.39,0.04,NA,0,20,31070,275,40005,0,0,13001440,NA,NA,NA,17.72,12157200,13,200.9
"CAROLINA","HIHASSEE LAKE","CHEROKEE","3707","IMPOUNDHENT",2507.1,25.41,21.3,53.8,116,10,50,2,0.015,0.007,0.2,0.42,4415,NA,25,NA,45370,13240,NA,875,NA,NA,25000,45,1.79,1013130,NA,37.6
"CAROLINA","'LAKE JAMES","BURKE. MCDORELL .","3703","IMPOUNDMENT",NA,26.35,13.5,NA,203,14,NA,57,1.3,0.02,0.006,0.16,1710,NA,15,27330,NA,7370,NA,470,NA,427305,43705,NA,1.12,375270,12,16.2
"CAROLINA","LAKE JUNALUSKA IEUTROPHICI","HAYHOOD","3709","IMPOUNDHENT",164.7,NA,NA,5.6,4.1,16,105,1,0.031,0.009,0.56,0.91,1111410000900,NA,NA,5165,5165,NA,NA,NA,122655,122655,5740,NA,6.38,140225,NA,151.4
"CAROLINA","MOUNTAIN ISLAND LAKE","GASTON. HECKLENBURG ‘","3711","IMPOUNDMENT",4822,13.09,5.4,7.2,12,15,NA,1,0.01,NA,0.005,0.27,NA,NA,NA,56395,56395,NA,NA,NA,1665175,1685175,42015,24,4.31,1010470,NA,120.7
"CAROLINA","LAKE NORMAN","CATARBA. IRADELL. LINCOLN. MECKLENBURG _","STORET","IMPOUNDHENT",4636.1,131.57,10.2,72.4,239,15,55,1.3,0.019,0.005,0.33,NA,8765,NA,NA,200,87025,23760,NA,7495,1751405,1782660,NA,68,0.73,1617200,9,13.5
"CAROLINA","RHODMISS LAME","BURKE. CALDRELL","3715","IMPOUNDHENT",2823.1,14.22,6.3,48.44,21,NA,15,56,1,0.061,0.019,0.305,41140,NA,600009,161295,202435,123375,NA,NA,1278660,1402035,106660,47,14.24,1268715,10,NA
"CAROLINA","SANTEETLAH LAKE","GRAHAM .","3716","IMPOUNOMENT",455.8,11.59,16.8,14.5,161,NA,10,50,3.4,0.011,0.006,0.16,1235,NA,NA,6630,7865,3310,NA,64.6666468,228705,232015,5315,32,0.68,184830,20,20
"ALABAMA",NA,"e CHILTON. COOSA ' A .","108","IMPOUNDHENT",25325,23.63,NA,NA,NA,52,141,0.9,0.053,0.022,0.29,0.56,6025,NA,20,NA,1085885,11385,NA,800,13010680,13022865,1126335,NA,45.95,12247875,6,551.1
"CAROLINA","LAKE TILLERY","MONTGOMERY. STANLY","3717","IMPOUNDMENT",NA,21.29,9.7,154.8,15,22,70,0.8,0.04,0.008,0.47,0.81,1555,NA,85,NA,317805,4850,NA,2350,4880875,4887875,284015,17,14.92,NA,NA,228.8
"CAROLINA","HATERVILLE LAKE","HAYHOOD","3718","IMPOUNDHENT",1178.4,1.38,22.7,23.8,15,33,348,0,0.103,0.041,0.86,1.19,23470,NA,NA,105280,128750,131375,NA,NA,1210275,NA,63690,51,NA,NA,31,NA
"OHIO","ATdOUD RESERVOIR IEUTROPHICI","CARROL","3928","IMPOUNOMENT",181,6.23,4.7,1.9,178,7,266,1,0.031,0.005,0.205,0.905,2525,NA,55,7800,10380,NA,NA,2130,127210,135590,3625,65,1.67,NA,27,21.8
"OHIO","BEACH CITY RESERVOIR","STARK. TUSCARARAS","3901","IMPOUNDMENT",777,NA,1.2,7.6,NA,NA,470,0.3,0.122,NA,0.015,1.99,NA,NA,560,41605,46155,NA,NA,NA,828365,361305,33430,17,27.15,753765,12,506.6
"OHIO","BUCKEYE LAKE","FAIRFIELDQ LICKING. PERRY","3902","NATURAL",114.5,12.71,1.9,1.2,233,77,287,0.3,0.179,0.02,0.38,2.69,1580,NA,235,4675,6490,3805,NA,8840,NA,111755,NA,9,0.51,86465,23,8.8
"OHIO","CHARLES MILL RESERVOIR","ASHLAND. RICHLANO '","3905","IMPOUNDMENT",562,5.46,1.7,5.4,NA,127,380,0.4,0.127,0.011,0.465,1.795,17380,NA,50,NA,30350,47700,NA,1895,447055,NA,25060,17,5.56,448155,10,NA
"OHIO","DEER CREEK RESERVOIR","FAYETTE. PICKAHAY","3906","IMPOUNDMENT",717.4,5.17,5,7.2,42,194,430,0.3,0.093,0.036,2.93,3.46,10515,NA,NA,13120,23635,26605,NA,NA,NA,755540,22350,20,5.54,NA,NA,146.1
"OHIO","DELAVARE RESERVOIR IEUTROPHIC)","DELAMARE","3907","IMPOUNDMENT",NA,NA,NA,NA,NA,140,470,0.4,NA,0.024,2.34,3,13050,NA,120,51705,65675,NA,NA,4495,1125790,NA,30245,42,12.49,1054250,11,224.2
"ALABAMA","MARTIN LAKE","COOSA. ELMORE. TALLAPOOSA","107","IMPOUNDMENT",7674.2,157.83,12.9,123.5,176,11,50,1.6,0.017,0.004,0.17,0.38,NA,NA,30,151385,213345,128075,NA,1170,2602825,2732070,81110,62,1.35,3572695,NA,17.3
"OHIO","DILLON RESERVOIR","MUSKINGUM","3908","IMPOUNDMENT",NA,5.36,3,20.7,9,135,400,0.5,0.163,0.037,1.59,2.7,71770,75,30,104545,176420,825185,NA,1100,1606705,NA,86675,51,32.91,NA,22,468.8
"OM10","LAKE GRANT EUTROPHIC)",".0ROuN ‘","3912","IMPOUNDMENT",0.1,NA,0.7,NA,1.9,55,195,0.3,NA,NA,0.019,NA,NA,NA,NA,NA,6666666666,NA,NA,NA,30775,NA,NA,15,NA,52300,NA,NA
"OHIO","HOOVER RESERVOIR","DELANARE. FRANKLIN","3914","TMPOUNDMENT",NA,11.43,6.5,4.9,179,92,299,0.9,0.04,0,1.64,2.3,5425,NA,50,14395,NA,14720,NA,1875,NA,374545,NA,65,1.74,336455,10,32.3
"OHIO","INDIAN LAKE","LOGAN","3915","IMPOUNDMENT",250.5,24.02,2.3,2.4,275,NA,126,359,0.4,0.12,0.012,0.3,NA,NA,290,6675,NA,NA,NA,10025,250220,261045,NA,NA,0.2,NA,25,10.5
"OHIO","MOSOUITO CREEK RESERVOIR IEUTRDPMICT","TRUMRULL","3921","IMPOUNUMENT",252.5,31.57,2.7,2.4,352,NA,213,0.9,0.053,0.006,0.15,1.14,3625,NA,NA,6360,NA,7710,NA,NA,NA,NA,5425,46,0.32,NA,27,6.1
"OHIO","O'SHAUGHNESSY RESERVOIR IEUTROPHIC)","DELAMARE ' . _ . _","3931","IMPOUNDMENT",2535.6,3.35,NA,NA,23.1,192,508,0.5,0.208,0.159,3.07,3.9,NA,57755,NA,NA,195,163275,NA,7390,3134615,3305280,153670,35,70.73,NA,0,NA
"OHIO","PLEASANT HILL RESERVOIR","ASHLAND. RICHLAND","3924","IMPOUNDMENT",510.2,3.44,4.8,5.1,35,130,329,1.1,0.036,0.01,0.455,1.095,8580,NA,NA,3485,12065,20895,NA,NA,284740,305435,NA,21,3.51,267180,13,88.8
"IN‘ALABAMA","PICKNICK LAKE","COLBERT.'LAUDERDALE. AL, TISHOMINGO. MS, HARDING.","109",".",NA,NA,85003.7,174.56,6.5,56,157,1.1,0.056,NA,0.035,0.535,73575,215570,NA,NA,60,NA,624035,NA,2345,NA,NA,NA,16.09,55474895,9,NA
"OHIO","LAKE SHAMNEE","GREENE","3933","NA NA NA NA NA NA",NA,NA,NA,NA,NA,161,422,0.7,0.069,0.009,2.3,3.595,NA,NA,160,NA,30135,NA,NA,NA,NA,NA,30495,20,49.5,NA,NA,NA
"OHIO","GRAND LAKE OF ST HARYS","AUGLAIZE. HERCER ' . .","3927","NATURAL",NA,44.52,3,2.9,1.6,97,350,0.4,0.143,0.014,NA,2.295,NA,1445,NA,275,NA,4340,NA,10325,NA,406455,15020,31,0.49,237335,41,9.1
"LAKE53IN*PENNSYLVANIA","BELTZVILLE LAKE","CARBON _","4220","IMPOUNDMENT",NA,3.33,12.3,3.3,NA,10,43,NA,3.5,0.01,0.005,NA,NA,NA,NA,2105,2105,NA,NA,NA,152350,152350,1490,29,0.55,NA,15,39.3
"PENNSYLVANIA","BLANCHARD RESERVOIR","CENTRE ' ""' ' _ I .","4201","-IMPOUNOMENT",878,NA,7,NA,12,93,280,1.2,NA,0.064,0.046,NA,NA,NA,NA,NA,NA,NA,170715,NA,NA,NA,35745,47,NA,NA,NA,56.4
"PENNSYLVANIA","LAKE CANADOHTA","CRANEORD","4221","NATURAL",20.4,0.69,0,0,100,30,117,1.6,0.02,0.005,0.13,0.55,15,NA,140,305,540,45,NA,5330,21420,26795,375,31,0.7,33530,NA,30
"PENNSYLVANIA","CONERAGO LAKElplNCHOTJ IEUTROPRIc) _",NA,"4226","IMPOUNDMENT",45.6,NA,NA,0,NA,NA,NA,132,NA,1.2,NA,NA,NA,NA,45,23625,23670,NA,NA,NA,NA,NA,NA,19,17.2,NA,NA,NA
"PENNSYLVANIA","CONNEAUT LAKE",NA,"A20A","NA NA NA NA NA NA",NA,NA,NA,NA,NA,NA,105,2.5,0.023,0.007,0.105,0.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1345,30,0.51,5515,NA,13.7
"PENNSYLVANIA","HARVEYS LAKE","LUZERNE ,","209/Aa","NATURAL",NA,17.3,NA,2.67,11,20,NA,NA,9.1,0.015,0.006,0.16,NA,NA,115,600,715,NA,NA,NA,14235,18500,NA,NA,6.9,NA,NA,NA
"PENNSYLVANIA","INDIAN LAKE IMESOTROPHIC)","SOMERSET_ , ' '","4223","IMPOUNDMENT",36.1,NA,3.04,-4.3,0.5,10,104,NA,2.5,NA,NA,NA,NA,NA,2345,26300,28785,NA,NA,NA,NA,NA,NA,34,9.5,NA,NA,NA
"PENNSYLVANIA","LAKE NAOHI","MONROE","4224","IHPOUNDHENT",NA,2.02,0.9,1,21,10,NA,1.4,0.014,0.005,0.135,0.415,30,NA,15,515,560,35,NA,640,NA,21665,540,NA,0.28,17695,18,10.7
"IN.PENNSYLVANIA","— LAKE ONTELAUNEE","RERKS '","4225","'",NA,NA,NA,NA,3.4,NA,NA,NA,NA,207,0.7,NA,3620,NA,30,17305,NA,11035,NA,1170,NA,1073125,18255,13,4.78,NA,NA,245
"PENNSYLVANIA","POCONO LAKE IMESOTROPHIC1","MONROE","4227","IMPOUNDMENT",NA,3.04,3.7,4.9,37,10,32,1.5,0.024,0.007,0.13,0.495,5095,NA,565,102060,107720,NA,NA,NA,NA,NA,75400,27,35.4,NA,NA,NA
"PENNSYLVANIA","PYMATUNING RESERVOIR","CRARFORD..PA, ASHTADULA. 0H","RORKING","IMPOUNDMENT",NA,66.45,3.7,NA,5.3,36,150,0.8,NA,0.07,0.008,NA,NA,3215,NA,15,12285,NA,8050,NA,NA,650,7675,NA,NA,203450,24,4
"LAKES-TN}PENNSYUVANIA","SHENANGD RIVER RESERVOIR IFHTHOPHIC!",NA,"4216","IMPDUNDMENI",1512.6,14.41,2.5,17,NA,60,200,0.9,0.05,NA,0,0.34,NA,NA,NA,35275,NA,42300,NA,70,712755,760195,42060,26,3.92,NA,NA,52
"PENNSYLVANIA","STILLMATER LAKE TMESOTROPHICT",NA,"4223","NA NA NA NA NA NA",NA,NA,NA,NA,NA,10,33,1.3,0.015,0.004,0.13,NA,NA,NA,5,NA,350,NA,NA,105,NA,NA,355,0,0.25,13320,23,13.3
