"state","name","county","storet_code","lake_type","drainage_area","surface_area","mean_depth","total_inflow","retention_time","alkalinity","conductivity","sechhi","tp","po4","tin","tn","p_pnt_source_muni","p_pnt_source_industrial","p_pnt_source_septic","p_nonpnt_source","p_total","n_pnt_source_muni","n_pnt_source_industrial","n_pnt_source_septic","n_nonpnt_source","n_total","p_total_out","p_percent_retention","p_surface_area_loading","n_total_out","n_percent_retention","n_surface_area_loading"
"VIRGINIA","CHICKAHOHINY LAKE IEUTROPHICI","NEH RENT. CHARLES","5112","IMPOUNDMENT",774.4,6.07,4.9,6.1,44,16,75,1.1,0.066,0.017,0.125,0.715,6825,NA,20,12625,NA,17380,NA,700,211500,NA,15325,21,3.21,227575,NA,37.8
"VIRGINIA","JOHN H KERR RES","HALIFAX. MECKLENBURGo VA, GRANVILLE. VANCE. NARREN.","5106","IMPOUNDMENT",20150.2,NA,10.7,NA,124,33,101,1,0.044,0.009,0.29,0.55,275270,NA,135,546445,821850,753310,NA,5075,NA,8028020,152430,81,4.15,6721510,16,40.5
"VIRGINIA","JOHN M ELANNAGAN RES IMeSOTRDPMICI U","COUNIY","055/A8","IMPOUNUMENT",572.4,NA,4.63,NA,NA,20,232,2.1,NA,0.011,0.004,NA,3075,NA,NA,NA,8375,8730,NA,NA,NA,NA,3400,70,2.47,311675,NA,64.7
"VIRGINIA","ocCOOUAN RESERVOIR IEUTROPHIC) '","FAIRFAx .","5108","IMPOUNDMENT",1533.3,6.88,4.9,14.5,27,33,109,1,0.098,0.037,0.525,1.105,23665,NA,5,70040,NA,NA,NA,190,646775,NA,36005,62,13.62,NA,8,109.6
"VIRGINIA","RIVANNA RESERVOIR","ALHERMARLE","5113","IMPOUNDMENT",673.4,1.32,NA,6.1,7.3,NA,54,1,0.079,0.022,0.475,0.775,230,1725,NA,NA,21525,295,6535,NA,255300,262130,NA,35,11.33,276455,NA,144
"VIRGINIA",NA,"BEDFORD. FRANKLIN. PITTSYLVANIA","5110","IMPOUNDHENT",2652.9,80.94,35.1,28.3,3.2,68,160,2,0.016,0.005,0.41,0.735,87105,5475,75,NA,162165,454765,33215,2730,NA,1520045,NA,94,2,661230,56,18.8
"VIRGINA","LAKE LYNN","MONONGALIA .","119/A8","IMPUUNUMENT",3654.5,7,12.8,86.4,12,NA,117,2.5,0.006,0.003,0.49,0.71,85,NA,35,60455,60575,NA,NA,1375,NA,2161745,NA,NA,NA,2061655,NA,308.8
"VIRGINA","SUMMERSVILLE RESERVOIR IMESOTROPHIC)","NICHOLAS","5403","IMROUNDMENT",2082.4,NA,NA,NA,21,10,NA,NA,50,3.5,0.011,NA,4440,NA,NA,NA,NA,14410,NA,NA,NA,NA,NA,10,NA,1414220,NA,126.5
"VIHGINA","TYGART RESERvOIR","3AR30UR. TAYLOR","5404","IMROUNDMENT",3537.9,7.03,17.4,73.2,20,10,32,3.1,0.006,0.005,0.43,0.64,5330,NA,15,42750,43095,NA,NA,650,1401020,1417655,NA,9,6.79,1507515,NA,200.2
"DELAHARE","NOXONTOMN POND","NEH CASTLE","1007","IMPOUNDMENT",24.4,0.64,1.1,0.42,20,32,143,0.5,0.16,0.016,0.53,2.2,475,NA,5,NA,2455,1600,NA,20,NA,41015,1355,45,3.84,22735,45,64.1
"DELAHARE","SILVER LAKE IEUTROPHIC)","NEU CASTLE","1000","IHPOUNDHENT",NA,0.15,1.5,0.33,0,20,217,0.9,0.227,0.09,4.75,5.35,2155,NA,5,2710,4070,4045,NA,100,70010,75015,2520,NA,32.47,50035,NA,22
