"state","name","county","storet_code","lake_type","drainage_area","surface_area","mean_depth","total_inflow","retention_time","alkalinity","conductivity","sechhi","tp","po4","tin","tn","p_pnt_source_muni","p_pnt_source_industrial","p_pnt_source_septic","p_nonpnt_source","p_total","n_pnt_source_muni","n_pnt_source_industrial","n_pnt_source_septic","n_nonpnt_source","n_total","p_total_out","p_percent_retention","p_surface_area_loading","n_total_out","n_percent_retention","n_surface_area_loading"
"MINNESOTA","TROUT LAKE","ITASCA","SOB/Ab","NATURAL",41.96,7.65,15.2,0.2,17.4,119,320,2.8,0.05,0.04,0.08,NA,2204,NA,9,290,2503,6612,NA,331,14608,21551,200,92,0.33,6168,71,2.8
"MAMPSMIRE","POMDER MILL POND IEUTROPMICI","MILLSSORDUGM .","3302","1MPDUNUMENT",372.96,1.51,2.5,6.7,6.5,10,65,1.2,0.033,0.016,0.17,NA,2540,NA,5,2141,4605,11247,NA,213,NA,NA,4413,6,3.11,6417,2,60.2
"HAMPSHIRE",NA,NA,NA,"NATURAL",NA,180.44,13.1,18.2,4,10,51,5.6,0.006,0.004,0.06,NA,10005,NA,1710,10603,22317,37420,NA,36313,413523,487256,5179,77,0.12,135778,72,2.7
"HAMPSHIRE","KELLYS FALLS POND","HILLSBOROUGH","3305","IMPOUNUMENT",564.62,0.52,2.3,8.9,1.5,10,65,1.8,0.024,0.015,0.31,NA,3229,NA,63,11728,15020,NA,NA,2449,140476,152780,10122,33,28.77,178862,NA,NA
"HAMPSHIRE",NA,"HILLSBOROUGH","3306","IMPOUNDMENT",523.18,0.61,3.4,8.3,3,10,75,1.7,0.028,0.015,0.135,NA,4032,NA,36,NA,8023,11646,NA,1333,147714,160694,5469,32,13.13,115370,28,263
"YORK","BLACK LAKE","ST LAHRENCE","3602","NATURAL",1445.22,33,NA,27,NA,56,120,1.9,0.03,0.017,0,NA,NA,NA,NA,54200,NA,NA,NA,NA,NA,NA,41596,23,1.6,NA,4,20.5
"YORK",NA,NA,"304/A8","NATURAL",476.56,42.99,39,3.6,15,NA,310,4.5,0.009,0.005,0.38,NA,2481,NA,299,3261,6041,NA,NA,4485,144671,158825,2100,65,0.14,NA,50,3.7
"CONNECTICUT","COMMUNITY LAKE","NEW HAVEN","903","IMPOUNOMENT",282.31,0.36,NA,5.5,NA,66,280,NA,0.9,0.488,0.36,2.15,38236,NA,NA,57007,NA,NA,NA,NA,NA,576716,NA,4,261.49,553528,4,1583.4
"YORK",NA,"DELAWARE","SOI/AB","IMPOUNDMENT",1175.86,NA,19.2,20.6,210,10,65,1.8,0.046,0.022,0.61,NA,NA,NA,NA,82780,82780,NA,NA,NA,851211,851211,NA,24,43.3,NA,NA,NA
"YORK","CARRY FALLS RESERVOIR","ST. LAWRENCE","3606","NATURAL",2261.07,26.14,5.4,42.9,38,10,50,2.3,0.01,0.006,0.3,NA,NA,NA,5,18635,18639,NA,NA,159,NA,NA,13456,28,0.71,1376843,NA,45.6
"YORK","CASSADAGA LAKE","CHAUTAUOUA","3607","NATURAL",15.54,0.35,NA,0.3,6,32,200,2.6,0.026,0.011,0.42,NA,454,NA,5,222,630,1361,NA,127,11332,13370,254,63,0.3,10375,19,15.7
"YORK","CAYUGA LAKE","CAYUGAQSENECA9 TOMPKINS","3608","NATURAL",2033.15,171.98,54.6,26.4,11.2,105,500,2.8,0.014,0.008,0.78,NA,37075,NA,336,46676,84086,175179,NA,12721,1186815,1374715,40399,52,0.49,NA,22,8
"YORK",NA,NA,"296/A8","NATURAL",NA,57.2,6.9,9.2,1,9,150,2,0.028,0.013,0.09,NA,8213,NA,200,7156,15574,35029,NA,7602,263551,306222,18150,NA,0.27,306022,NA,5.4
"YORK","CROSS LAKE IEUTRDPHICI","CAYUGA.ONONDAGA","3611","NATURAL",3031.59,3.31,5.5,35.4,7,129,650,1.3,0.076,0.042,0.435,NA,NA,NA,45,236127,NA,304005,NA,1633,4123799,NA,223376,23,33.52,NA,10,503
"YORK",NA,"OTSEGO","3613","NATURAL",NA,1.48,NA,15.6,NA,96,230,1.4,0.026,0.009,0.24,NA,3673,NA,50,18381,22104,13379,NA,NA,504295,NA,16127,27,14.96,NA,NA,351.8
"YORK","LAKE HUNTINGTON","SULLIVAN","3615","NATURAL",1.81,0.34,NA,0,0.5,14,20,3.5,0.015,0.01,0.26,NA,NA,NA,5,32,36,NA,NA,236,1179,1415,10,50,0.11,685,52,4.2
"YORK","KEUKA LAKE","YATES. STEUBEN","3617","NATURAL",471.38,47.4,22.6,4.3,7.8,74,241,3.6,0.008,0.005,0.305,NA,NA,NA,NA,4195,NA,NA,NA,NA,NA,207524,2345,53,0.1,104576,50,4.4
"YORK","LONG LAKE","HAMILTON","3619","NATURAL",NA,16.55,NA,26.6,NA,10,50,2.9,0.008,0.005,0.22,NA,NA,NA,91,7347,7438,NA,NA,3370,667601,NA,8889,NA,0.45,NA,NA,40.5
"CONNECTICUT",NA,"TOLLAND","904","IMPOUNDMENT",287.49,0.32,0.9,5.3,0.6,10,NA,1.6,0.094,0.04,0.5,NA,11374,NA,14,6127,17515,NA,NA,535,180689,NA,13819,21,54.1,257710,NA,775.1
"YORK","OTTER LAKE","CAYUGA","3625","NATURAL",7.51,1.14,NA,0.1,NA,122,270,1.1,0.043,0.011,0.24,NA,NA,NA,NA,77,77,NA,NA,NA,7410,NA,177,NA,0.07,6399,14,6.5
"YORK","ONASCO","CAYUGA","3627","NATURAL",NA,26.68,29.3,NA,NA,107,280,2.7,0.009,0.005,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YORK","ROUND LAKE","SARATOGA","3630","NATURAL",NA,1.3,NA,1.1,NA,76,260,1.2,0.076,0.025,0.31,NA,1007,NA,NA,5751,6757,3016,NA,NA,NA,47451,5560,18,5.22,82390,NA,36.6
"YORK",NA,"FULTON. SARATOGA","3632","NATURAL",2703.96,122,7.6,64.7,166,10,50,3.5,0.009,0.006,0.27,NA,567,NA,150,21156,21873,1701,NA,5605,1682890,NA,16077,26,0.18,1741714,NA,13.9
"YORK",NA,"SARATOGA","3633","NATURAL",631.96,16.32,7.9,10,150,72,232,2.5,0.025,0.016,0.145,NA,13206,NA,86,12796,26086,NA,NA,3166,286190,358431,12166,53,1.6,276367,23,22
"YORK","SCHROON","ESSEA.MARREN","3634","NATURAL",1116.66,16.71,14.3,16.1,153,10,59,3.7,0.004,0.003,0.16,NA,NA,NA,195,6345,6540,NA,NA,7324,607156,614461,14644,NA,0.39,732626,NA,36.6
"YORK",NA,NA,"341/AB","NATURAL",1823.36,175.35,33.7,14.6,33.7,93,790,4,0.01,0.006,0.38,NA,NA,NA,NA,18526,67002,NA,NA,10077,821397,1010843,NA,80,0.38,520168,49,5.8
"YORK","SMAN LAKE","SULLIVAN","3636","NATURAL",38.85,1.34,NA,0.8,NA,16,72,1.7,0.042,0.014,0.125,NA,363,NA,5,1025,NA,1088,NA,109,28617,NA,NA,35,1.04,22698,24,22.2
"YORK","SHINGING BRIDGE RES","SULLIVAN","3637","IMPOUNDMENT",382.54,3.47,13.4,5.9,NA,10,75,1.3,0.057,0.02,0.52,NA,NA,NA,27,4803,24540,NA,NA,1066,NA,NA,10181,59,7.07,NA,20,100.7
"YORK","CONESUS LAKE","LIVINGSTON","3639","NATURAL",180.52,12.89,8.9,2.2,1.7,116,340,3.2,0.02,0.013,0.1,NA,NA,NA,336,NA,NA,NA,NA,12630,120789,133419,2109,57,0.38,73741,45,10.4
"CONNECTICUT","HANOVER POND","NEH HAVEN","905","IMPOUNDMENT",246.31,0.26,1.4,4.8,0.8,59,265,1,0.298,0.189,1.575,NA,NA,NA,NA,26875,56549,NA,NA,NA,NA,NA,56440,0,218.33,380676,NA,1363.1
"YORK","LOMER ST REGIS","FRANKLIN","3640","NATURAL",54.91,1.87,5.1,1,110,10,50,1.2,0.017,0.008,0.21,NA,95,NA,9,658,762,3401,NA,317,30104,33823,680,11,0.41,26558,21,16.1
"ISLAND",NA,"PROVIDENCE","4402","'",NA,232032,0.84,NA,4.4,10,91,1.3,0.032,0.011,0.205,NA,757,NA,18,NA,4698,1510,NA,639,88277,NA,NA,170,5061,88862,2,107.9
"ISLAND","TURNER RESERVOIR","PROVIDENCE","4403","IMPOUNDMENT",138.56,0.49,1.5,2.6,3.3,27,260,0.8,0.85,0.635,2.3,NA,30132,45370,NA,5011,80512,NA,37415,NA,86199,222109,53451,34,163.07,214589,30,NA
"VERMONT","LAKE CHAMPLAIN","VT. AND NY AREA","5001","NATURAL",21186.19,1130.3,19.4,313,2.6,46,142,2.3,0.018,0.01,0.19,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.51,NA,0.25,11.61
"VERMONT","CLYDE POND","ORLEANS","5002","IMPOUNDMENT",362.6,0.57,3.4,6,3.6,54,145,1.7,0.021,0.006,0.175,NA,875,NA,14,3823,4712,NA,NA,853,NA,160834,174549,NA,283.9,NA,NA,NA
"VERMONT","HARRIMAN RESERVOIR","HINDHAM","5005","IMPOUNDMENT",486.4,8.84,10.4,13.6,78,NA,50,2,0.009,0.007,0.27,NA,2041,NA,259,5492,7791,NA,NA,NA,NA,374816,6444,17,0.88,311474,17,42.4
"VERMONT","LAKE LAMOILLE","LAMOILLE","5007","IMPDUNDMENT",NA,0.62,1.7,12.4,1,46,140,1.5,0.016,0.01,0.26,NA,4553,NA,NA,11052,15605,14789,NA,NA,304263,NA,12422,20,25.2,302526,5,515.3
"VERMONT","LAKE MEMPMREMAGOG","ORLEANS","5008","NATURAL",NA,NA,15.5,27.3,NA,56,160,2,0.021,0.008,0.195,NA,NA,NA,172,27551,47719,55800,NA,6395,NA,1054539,27515,42,0.5,NA,NA,NA
"VERMONT","ARROMHEAD MOUNTAIN LAKE","CHITTENDEN. FRANKLIN","5010","IMPOUNDMENT",1815.59,3.34,3.1,34.4,3.5,36,108,1.6,0.015,0.009,0.23,NA,7415,3800,5,26408,37628,NA,5320,172,1063485,NA,27433,27,11.26,1123737,NA,327.3
"VERMONT","HATERBURY RESERVOIR","HASHINGTON) LAMOILLE","5011","IMPOUNDMENT",NA,3.6,12.7,6.4,83,14,70,2.4,0.007,0.004,0.23,NA,NA,NA,NA,NA,4325,5116,NA,NA,168018,173134,3678,24,1.34,156073,10,48.1
"CONNECTICUT","LAKE ZOAR","LITCHFIELD. NEH HAVEN","910","IMPOUNDMENT",NA,3.95,7.5,70.2,5,72,220,1.9,0.043,0.029,0.56,NA,10154,NA,NA,144617,154771,14231,NA,NA,2747388,2761619,116562,25,NA,2556381,7,NA
"NISCONSIN","ALTOONA LAKE","EAU CLAIRE","5502","NATURAL",2108.26,3.4,2.1,16.1,5,26,82,0.7,0.092,0.04,0.46,NA,NA,NA,36,66667,67655,3578,NA,1279,732671,737528,73066,NA,NA,NA,NA,217
"MISCONSIN","BEAVER DAH","BARRON","5503","NATURAL",NA,4.5,9.8,NA,NA,NA,100,0.9,0.301,0.163,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NISCONSIN","LAKE 8UTTE DES MORTS","MINNEDAGO","5508","NATURAL",14452.2,35.84,1.8,117,6,NA,270,0.6,0.076,0.027,0.24,NA,4476,NA,209,NA,NA,13433,NA,7887,6474034,NA,NA,NA,NA,6532490,NA,181.2
"NISCONSIN","BUTTERNUT LAKE","PRICE. ASHLAND","5509","NATURAL",118.62,4.07,4.3,1.4,146,26,95,1,0.073,0.055,0.3,NA,893,NA,73,1637,2603,2548,NA,2667,50454,NA,2512,3,0.64,53478,4,13.7
"HISCONSIN","BUTTERNUT LAKE IEUTROPHICI","PRICE. ASHLAND","5509","NATURAL",118.62,4.07,4.3,1.4,146,26,95,1,0.073,0.055,0.3,NA,893,NA,73,1637,2603,2848,NA,2667,50454,NA,2512,3,0.64,53478,4,13.7
"RISCONSIN","CASTLE ROCK FLOHAGE","JUNEAU. ADAMS","5510","IMPOUNOMENT",NA,67.34,3.2,NA,13,32,143,0.8,0.062,0.039,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MISCONSIN","OELAVAN LAKE","NALMORTM . .","5513",".",NA,NA,NA,105.15,7.18,165,470,1.3,0.141,0.126,NA,0.287,6063,NA,172,NA,1773,18209,NA,6395,35556,60159,3587,55,1.12,56594,6,8.4
"HISCONSIN",NA,"EAU CLAIRE .","5515","IMPOUNDMENT",1541.05,4.52,2.3,12.3,10,26,83,0.8,0.089,0.038,0.5,NA,5274,NA,32,35578,40884,NA,NA,1102,524199,542240,41760,NA,NA,511890,6,119.8
"WISCONSIN","'","GREEN LAKE ' ' '","5519","NATURAL",303.03,NA,31.7,1.4,21,178,NA,390,5.8,0.028,0.023,0.2,3351,NA,209,3864,7424,NA,NA,7600,NA,170712,4041,46,0.25,47782,72,5.7
"NISCONSIN","NEGONSA LAKE IEUTROPHIC)","DANE","5520","NATURAL",NA,10.99,5.2,4.9,136,173,390,1.1,0.115,0.076,0.255,NA,544,NA,122,NA,20376,1633,NA,4494,NA,307034,NA,3,1.85,211166,31,27.9
"CONNECTICUT","LAKE LILLINONAH","FAIRFIELD","911","IMPOUNOMENT",3605.28,7.69,11.9,62.7,17,80,240,3.7,0.054,0.048,0.66,NA,NA,NA,NA,NA,223559,NA,NA,NA,2786162,3001118,133406,40,NA,2512589,16,NA
"NISCONSIN","KOSHKONONG LAKE","JEFFERSON","5522","IMPOUNDMENT",6475,42.41,1.6,33.8,24,244,585,0.5,361,215,7190,NA,NA,NA,113,351428,418485,167501,NA,4308,2884006,NA,330517,21,NA,NA,8,72.1
"NISCONSIN","NAGANICKA LAKE","HAUKESHA","5531","NATURAL",115.51,4.15,9.9,0.8,1.5,2210,5210,19.3,0.124,0.113,0.58,NA,3134,NA,168,2213,5515,NA,NA,6100,84617,100113,2381,57,1.33,42581,57,24.1
"MISCONSIN","OCONOMOMOC","MAUMESHA","5532","NATURAL",NA,3.13,9.6,1.7,209,193,450,2.9,0.012,0.007,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WISCONSIN",NA,NA,"5534","IMPOUNDMENT",NA,NA,6,NA,47,30,143,0.7,0.064,0.051,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wISCONSlN","PINE LAKE","WAUKESHA","603/AB","NATURAL",NA,2.35,11.3,NA,NA,144,305,1.6,0.028,0.014,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MISCONSIN","LAKE PDYGAN","HINNE8AGO. VAUSMARA .","5538","NATURAL",10101,44.48,2.1,84.2,13,137,303,0.5,0.074,0.026,0.28,NA,NA,NA,77,244830,246880,7438,NA,2875,4180737,NA,NA,3,5.55,4203310,NA,NA
"MISCONSIN","SHAHANO LAKE","SHAMANO","5539","NATURAL",NA,24.91,3.2,1.7,1.5,104,223,2.1,0.02,0.003,0.13,NA,NA,NA,113,1696,1810,NA,NA,4263,75465,NA,1333,23,0.07,NA,26,3.2
"NISCONSIN",NA,"DODGE","5541","IMPOUNDMENT",NA,NA,1.4,4.6,33,246,560,0.2,0.404,0.188,0.3,NA,6494,NA,59,52580,NA,NA,NA,2132,NA,577515,58449,NA,6.35,NA,NA,62
"MISCONSIN","SMAN LAKE","COLUMBIA","5545","NATURAL",175.08,1.64,9.7,1,178,188,405,2,0.141,0.134,0.85,NA,1710,NA,18,2839,4567,NA,NA,639,NA,64853,5397,NA,2.78,57478,11,39.5
"MISCONSIN","TAINTER LAKE","DUNN","5546","NATURAL",4351.2,6.85,4.1,32,10,73,175,1.4,0.111,0.001,0.64,NA,1102,NA,59,137641,NA,3311,NA,2204,1577635,1563149,121655,12,20.3,1573650,1,231.2
"CONNECTICUT","LAKE MOUSATONIC","NEMHAVEN. FAIR FIELD","912","IMPOUNOMENT",4076.66,1.33,2.9,71.8,0.6,84,240,1.9,0.039,0.029,0.57,NA,NA,NA,NA,118236,118236,NA,NA,NA,2607147,2607147,NA,16,NA,NA,6,NA
"WISCONSIN","TOUNLINE LAKE","ONEIDA","5548","NATURAL",12.17,0.61,3.8,0.1,253,27,97,0.8,0.078,0.042,0.305,NA,NA,454,NA,27,367,1361,NA,NA,3361,5714,404,52,1.4,5188,9,9.4
"HISCONSIN","HAPOGASSET LAKE","POLK","5550","NATURAL",256.67,4.8,5.3,1.5,NA,92,195,1.8,0.043,0.015,0.205,NA,735,NA,77,2603,3415,2204,NA,2844,48145,53193,NA,43,0.71,NA,0,11.1
"WISCONSIN",NA,"MARATHON","5551","IMPOUNDMENT",10360,7.76,2.2,100.4,2,21,88,0.7,0.059,0.033,0.385,NA,52526,NA,36,167896,220458,NA,NA,1302,3270742,3566619,360168,NA,28.4,NA,NA,459.5
"WISCONSIN","LAKE NINNEBAGO","HINNEBAGO. FOND DU LAC, CALUMET","5554","NATURAL",15617.69,557.3,4,122.3,210,134,303,0.6,0.116,0.074,0.27,NA,108399,NA,376,412748,521524,632381,NA,5655,7732369,8370405,543497,NA,0.94,NA,17,15
"MISCONSIN","MISCONSON LAKE IEUTROPHIC)","COLUMBIA. SAUK _","5555","IMPOUNDMENT",23180.49,36.02,1.8,207.1,4,49,155,0.8,0.058,0.037,0.38,NA,20621,NA,190,527057,547868,NA,NA,7161,NA,NA,NA,5,15.21,NA,NA,251.6
"WISCONSIN","LAKE iISSOTA","CHIPPEUA","642/AB","IMPOUNDMENT",14374.49,21.97,8.8,133.1,17,29,85,1,0.043,0.028,0.24,NA,3460,NA,204,NA,NA,10050,NA,7619,5588065,5605733,NA,15,8.86,4106444,27,255.1
"MISCONSIN","PEHAUKEE LAKE","HAUKESHA","5557","IMPOUNDMENT",NA,10.09,4.5,NA,4.2,166,440,1.7,0.026,0.015,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WISCONSIN","OKAUCHEE","MAUKESMA ‘","5558","NATURAL",217.04,4.47,9,1.6,300,196,450,1.9,0.016,0.008,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MISCONSIN","TICHIGAN LAKE","RACINE","5559","NATURAL",NA,4.59,1.9,5.4,19,195,575,0.9,0.269,0.207,0.815,NA,78635,NA,159,15243,NA,155048,NA,NA,257311,418290,54735,42,20.51,NA,9,NA
"RISCONSIN","BRONNS LAKE","RACINE","5500","NATURAL",NA,1.6,NA,NA,NA,131,418,2,0.022,0,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAINE","ESTES LAKE","YORK","2304","IMPOUNDMENT",271.95,1.57,3,5,11,13,75,1,0.094,0.057,0.23,NA,11234,NA,14,3364,NA,45193,NA,431,127129,172303,14254,6,NA,NA,NA,110.3
