"state","name","county","storet_code","lake_type","drainage_area","surface_area","mean_depth","total_inflow","retention_time","alkalinity","conductivity","sechhi","tp","po4","tin","tn","p_pnt_source_muni","p_pnt_source_industrial","p_pnt_source_septic","p_nonpnt_source","p_total","n_pnt_source_muni","n_pnt_source_industrial","n_pnt_source_septic","n_nonpnt_source","n_total","p_total_out","p_percent_retention","p_surface_area_loading","n_total_out","n_percent_retention","n_surface_area_loading"
"MINNESOTA","81G STONE","BIG STONE. (MN); ROUERTS. GRANT. (SD)","2709","NATURAL",3004.4,51.03,3.4,3.3,1.7,131,800,1,0.159,0.126,0.335,NA,7696,23,213,8014,NA,22599,NA,8036,188812,NA,15846,1,0.31,214068,2,4.3
"MINNESOTA",NA,"CASS","2710","NAfuﬁAL",NA,5.19,3,NA,NA,106,210,2.4,0.019,0.009,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MINNESOTA","BLACKDUCK LAKE","BELTRAMI","2711","NATURAL",75.11,11.1,4.5,0.4,4.2,128,243,1.7,0.038,0.019,0.195,NA,NA,NA,NA,NA,1592,2023,NA,400.404448,27329,NA,717,55,0.14,16091,45,2.6
"MINNESOTA",NA,NA,"2712","NATURAL",20.72,0.74,4.4,0.1,257,103,230,1.6,0.043,0.024,0.185,NA,639,NA,9,254,NA,NA,NA,268,6522,8703,NA,1,0,5075,42,11.3
"MINNESOTA",NA,"WRIGHT","2713","NATURAL",113.96,6.11,4.4,0.6,1.4,NA,395,1,0.209,0.16,0.795,NA,4821,NA,23,1129,NA,10086,NA,853,18000,NA,NA,34,0.98,51429,NA,4.7
"MINNESOTA","CARRIGAN LAKE IMYPEREUTROPMICI","NRIGMT","271A","NATURAL",NA,0.66,NA,NA,NA,185,NA,0.3,1.215,0.785,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MINNESOTA",NA,"BELTRAMIo CASS","2715","NATURAL",NA,63.12,7.6,17.8,313,140,280,1.9,0.02,0.009,0.14,NA,NA,NA,NA,13261,22227,46390,NA,NA,NA,552358,8118,63,0.35,NA,18,8.8
"MINNESOTA","CLEARHATER LAKE","WRIGHT. STEARNS","2716","NATURAL",450.66,12.88,5.2,1.5,1.4,153,358,1.6,0.028,0.014,0.145,NA,3138,NA,NA,5433,8630,NA,NA,2227,NA,107161,2036,76,0.67,NA,NA,8.3
"MINNESOTA","COKATO LAKE","MRIGMT","2719","NATURAL",116.55,NA,2.2,7.6,0.5,225,NA,1.9,0.231,0.218,1.075,NA,1551,NA,9,4159,5719,5497,NA,372,54367,60236,3202,44,2.6,40304,33,27.4
"MINNEbUTA","CRANdERRY LAKE","CROR RING","2720","NATURAL",NA,0.08,NA,NA,NA,42,110,1.2,0.027,0.017,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MINNESOTA",NA,"ST. LOUIS","2725","NATURAL",16.32,0.69,3.1,0.1,NA,88,278,1.9,1.38,1.26,0.48,NA,5351,NA,NA,95,5447,16059,NA,NA,4163,20222,1828,66,7.87,6295,69,29.2
"MINNESOTA","EMMARRASS LAKE","ST. LOUIS","2728","NATURAL",NA,2.05,2.6,2.8,22,37,130,1,0.025,0.013,0.2,NA,1683,NA,9,1810,3501,5043,NA,376,104068,NA,3587,NA,1.71,82195,25,53.4
"MINNESOTA","FALL LAKE","LAKE","2730","NATURAL",NA,8.79,4,NA,NA,NA,50,1.6,0.02,0.011,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MINNESOTA","GULL LANE","CASS.CRON RING","2737","NATURAL",766.64,38.61,9.1,3.8,2.9,106,208,2.3,0.022,0.011,0.15,NA,NA,NA,150,3519,3669,NA,NA,5701,136263,NA,22900,380,10,87560,38,3.7
"MINNESOTA","HERON LAKE","JACKSON","2739","NATURAL",1222.48,33.39,0.9,2.6,135,128,NA,0.3,0.302,0.154,0.135,NA,14082,NA,NA,20535,34617,NA,NA,NA,NA,554308,22426,35,1.04,341787,38,16.6
"MlNNEbUTA","LEECH LAKE","CASS","2746","NATURAL",NA,453.26,4.7,13.1,5.2,132,260,2.2,0.015,0.009,0.13,NA,1751,NA,5,16209,NA,5261,NA,181,1071065,1076507,8222,54,0.04,525170,51,2.4
"MINNESOTA",NA,"BLUE EARTH","2747","NATURAL",112.92,0.57,0.9,0.3,20,184,533,0.3,0.607,0.297,0.235,NA,2036,NA,NA,1746,3782,6821,NA,NA,87179,NA,5651,NA,6.58,NA,NA,163.6
"MINNESOTA","LITTLE LAKE","GRANT","2748","NATURAL",NA,0.28,NA,NA,NA,200,790,1.1,0.93,0.765,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MINNESOTA","MADISON LAKE","BLUE EARTH","2750","NATURAL",61.64,4.5,4,0.2,3.3,131,305,0.9,0.05,0.02,0.68,NA,NA,45,667,889,1601,NA,63,NA,48218,50277,385,76,0.36,NA,62,11.2
"MINNESOTA","MALMEUAL LAKE","POPE","2752","NATURAL",21.5,0.79,1.8,0,1.3,180,563,0.4,0.125,0.03,0.395,NA,136,NA,NA,82,216,NA,NA,NA,3429,3850,544,NA,0.26,3333,13,4.9
"CONNECTICUT",NA,NA,NA,"IMPOUNDMENT",1851.85,1035,2.7,3505,1.2,20,115,0.8,0.092,0.053,0.59,NA,28259,NA,140,1068160,NA,80236,NA,535,NA,1760237,NA,7,100024,16103940,9,1306.2
"MINNESOTA","MASHKENODE LAKE","ST. LOUIS","2756","NATURAL",45.58,0.41,2.1,0.3,40,101,NA,300,1,0.075,0.022,0.145,NA,NA,NA,268,2200,5787,NA,NA,10313,16100,567,74,5.38,7066,56,39.4
"MINNESOTA","MCOUADE LAKE","ST. LOUIS","2757","NATURAL",64.23,0.66,2.7,0.4,57,60,195,1.4,0.04,0.02,0.13,NA,367,NA,NA,426,794,1107,NA,NA,23088,20195,5620,290,1020,21206,12,36.5
"MINNESOTA","LAKE MINNETONKA","HENNEPIN","2760","NAIURAL",NA,58.56,6.9,NA,15,130,360,1.4,0.047,0.018,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MINNESOTA",NA,NA,"297/AB","NATURAL",227.92,28.77,6,0.4,1207,220,640,1.7,0.035,0.017,0.14,NA,NA,NA,177,1129,NA,3789,NA,6571,NA,66345,4260,90,NA,14181,79,2.3
"MINNESOTA","PELICAN LAKE","ST. LOUIS","2765","NATURAL",NA,44.29,2.4,1,3.3,35,89,1.7,0.032,0.011,0.15,NA,358,NA,73,2086,2517,1070,NA,2780,82417,86268,1347,46,0.06,34277,60,1.9
"MINNESOTA","RABBIT LAKE","CROW MING","2771","NATURAL",NA,2.15,7.2,NA,NA,106,280,2.7,0.028,0.012,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MINNESOTA","STLOUIS dAY","ST.LOUIS¢ (MN); DOUGLAS! (NI)","538/AB","NATURAL",NA,NA,3.4,67.9,6,39,160,0.6,0.216,0.161,0.82,NA,156349,NA,NA,162122,318472,543528,NA,NA,NA,NA,226553,29,32.53,3467383,1,357.2
"MINNESOTA","SILVER LAKE","MCLEOD","2782","NATURAL",5.7,1.71,1.2,0,2.3,186,480,0.3,0.6,0.31,0.36,NA,789,NA,NA,118,NA,2358,NA,NA,3837,6195,662,27,0.53,NA,32,3.6
"MINNESOTA","st MILE LAKE","ST. LOUIS","2783","NATURAL",38.33,0.34,1.9,0.2,30,127,320,0.9,0.235,0.151,0.095,NA,1533,NA,NA,195,1728,NA,NA,NA,8707,13302,700,50,5.08,15250,NA,39.1
"MINNESOTA","SUPERIOR BAY","ST. LOUIS. (MN); DOUGLAS. (H1)","2786","NATURAL",10828.52,14.69,3.8,82.6,8,44,130,0.6,0.079,0.044,0.44,NA,NA,NA,NA,204653,353052,NA,NA,NA,3552790,NA,144259,59,24.03,NA,31,286.1
"CONNECTICUT",NA,"LITCHFIELD","313/AB","NATURAL",85.99,3.71,4.4,1.7,112,NA,33,110,1.7,0.044,0.014,0.135,NA,NA,NA,2132,2322,535,NA,NA,44562,45098,2431,NA,0.63,NA,NA,12.2
"MINNESOTA","SMAN LAKE","ITASCA","2788","NATURAL",NA,10.58,12.1,1.7,2.4,79,190,2.9,0.013,0.009,0.08,NA,3193,NA,95,1687,NA,NA,NA,3624,67710,81075,1052,79,0.47,33565,59,7.7
"MINNESOTA","TRACE LAKE","TODD","2792","NATURAL",4.14,1.12,NA,0,NA,206,420,1.1,1.13,0.088,1.08,NA,367,NA,NA,50,417,1107,NA,NA,2005,NA,91,78,0.37,780,75,2.8
